City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
204,tacuarembo,-31.7333,-55.9833,13.900000000000034,78,81,5.05,UY,1712893046
205,kampung ayer keroh,2.2654,102.2801,30.54000000000002,74,20,4.12,MY,1712893123
206,namibe,-15.1961,12.1522,22.170000000000016,75,48,1.5,AO,1712893124
207,ta`u,-14.2336,-169.5144,29.230000000000018,76,40,4.97,AS,1712893021
208,tongliao,43.6125,122.2653,26.82000000000005,25,54,9.91,CN,1712893124
209,keflavik,64.0049,-22.5624,2.9500000000000455,93,75,5.14,IS,1712892865
210,nagqu,31.5,92.0,3.7800000000000296,17,100,8.3,CN,1712893124
211,juneau,58.3019,-134.4197,7.0,85,75,3.09,US,1712892917
212,opuwo,-18.0607,13.84,20.430000000000007,61,35,1.39,NA,1712893060
213,hadibu,12.65,54.0333,27.939999999999998,71,59,1.51,YE,1712893125
214,pont rouge,48.8833,-72.0825,6.060000000000002,90,100,6.16,CA,1712893125
215,mount isa,-20.7333,139.5,26.870000000000005,22,2,4.12,AU,1712893125
216,dudinka,69.4058,86.1778,-24.069999999999965,95,50,5.36,RU,1712893126
217,east ballina,-28.8667,153.5833,24.33000000000004,69,66,6.13,AU,1712893126
218,chonchi,-42.6128,-73.8092,6.180000000000007,73,0,0.86,CL,1712892889
219,cill airne,52.05,-9.5167,10.860000000000014,99,100,2.72,IE,1712893126
220,arkalyk,50.2486,66.9114,4.210000000000036,52,34,3.88,KZ,1712893127
221,damboa,11.156,12.7576,26.340000000000032,11,75,2.18,NG,1712893127
222,ati,13.2154,18.3353,26.07000000000005,11,38,4.99,TD,1712893127
223,petatlan,17.5167,-101.2667,24.57000000000005,78,8,0.92,MX,1712893127
224,paka,4.6374,103.4368,30.960000000000036,70,40,3.6,MY,1712893127
225,waingapu,-9.6567,120.2641,29.78000000000003,61,28,4.23,ID,1712893128
226,la passe,45.5549,-0.8967,10.550000000000011,93,9,3.2,FR,1712892829
227,buala,-8.145,159.5921,30.150000000000034,67,77,2.52,SB,1712893128
228,san rafael,-34.6177,-68.3301,8.610000000000014,87,99,2.31,AR,1712893128
229,luderitz,-26.6481,15.1594,22.860000000000014,39,0,3.26,NA,1712893054
230,rustenburg,-25.6676,27.2421,14.53000000000003,74,57,0.71,ZA,1712893128
231,hammerfest,70.6634,23.6821,0.25,86,100,3.09,NO,1712893049
